year,city,country,avg_temp
1839,Seoul,South Korea,9.47
1840,Seoul,South Korea,10.21
1841,Seoul,South Korea,9.44
1842,Seoul,South Korea,10.13
1843,Seoul,South Korea,10.33
1844,Seoul,South Korea,10.15
1845,Seoul,South Korea,10.25
1846,Seoul,South Korea,10.57
1847,Seoul,South Korea,10.59
1848,Seoul,South Korea,10.36
1849,Seoul,South Korea,10.39
1850,Seoul,South Korea,9.69
1851,Seoul,South Korea,9.33
1852,Seoul,South Korea,9.52
1853,Seoul,South Korea,9.86
1854,Seoul,South Korea,10.53
1855,Seoul,South Korea,10.83
1856,Seoul,South Korea,10.30
1857,Seoul,South Korea,10.27
1858,Seoul,South Korea,10.45
1859,Seoul,South Korea,10.37
1860,Seoul,South Korea,9.47
1861,Seoul,South Korea,9.77
1862,Seoul,South Korea,9.69
1863,Seoul,South Korea,10.53
1864,Seoul,South Korea,10.00
1865,Seoul,South Korea,10.20
1866,Seoul,South Korea,10.11
1867,Seoul,South Korea,10.56
1868,Seoul,South Korea,10.49
1869,Seoul,South Korea,10.71
1870,Seoul,South Korea,10.34
1871,Seoul,South Korea,10.48
1872,Seoul,South Korea,10.26
1873,Seoul,South Korea,9.85
1874,Seoul,South Korea,10.52
1875,Seoul,South Korea,10.43
1876,Seoul,South Korea,10.71
1877,Seoul,South Korea,10.48
1878,Seoul,South Korea,10.29
1879,Seoul,South Korea,10.62
1880,Seoul,South Korea,10.29
1881,Seoul,South Korea,10.24
1882,Seoul,South Korea,10.43
1883,Seoul,South Korea,10.24
1884,Seoul,South Korea,9.37
1885,Seoul,South Korea,9.88
1886,Seoul,South Korea,10.33
1887,Seoul,South Korea,10.35
1888,Seoul,South Korea,10.34
1889,Seoul,South Korea,9.70
1890,Seoul,South Korea,11.38
1891,Seoul,South Korea,10.33
1892,Seoul,South Korea,9.61
1893,Seoul,South Korea,9.64
1894,Seoul,South Korea,11.60
1895,Seoul,South Korea,9.93
1896,Seoul,South Korea,10.39
1897,Seoul,South Korea,10.40
1898,Seoul,South Korea,11.49
1899,Seoul,South Korea,11.12
1900,Seoul,South Korea,10.55
1901,Seoul,South Korea,10.28
1902,Seoul,South Korea,10.82
1903,Seoul,South Korea,10.68
1904,Seoul,South Korea,10.25
1905,Seoul,South Korea,10.57
1906,Seoul,South Korea,10.08
1907,Seoul,South Korea,10.57
1908,Seoul,South Korea,10.08
1909,Seoul,South Korea,10.13
1910,Seoul,South Korea,9.94
1911,Seoul,South Korea,10.24
1912,Seoul,South Korea,9.96
1913,Seoul,South Korea,9.70
1914,Seoul,South Korea,11.44
1915,Seoul,South Korea,10.35
1916,Seoul,South Korea,10.49
1917,Seoul,South Korea,9.56
1918,Seoul,South Korea,10.21
1919,Seoul,South Korea,10.64
1920,Seoul,South Korea,10.98
1921,Seoul,South Korea,10.49
1922,Seoul,South Korea,10.53
1923,Seoul,South Korea,10.15
1924,Seoul,South Korea,10.54
1925,Seoul,South Korea,10.33
1926,Seoul,South Korea,10.25
1927,Seoul,South Korea,10.56
1928,Seoul,South Korea,10.53
1929,Seoul,South Korea,10.75
1930,Seoul,South Korea,11.12
1931,Seoul,South Korea,10.27
1932,Seoul,South Korea,10.98
1933,Seoul,South Korea,10.47
1934,Seoul,South Korea,10.21
